,resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId
0,1,18,1,1,1,1,10.0,58,1
1,2,18,2,2,5,2,8.0,58,1
2,3,18,3,3,7,3,6.0,58,1
3,4,18,4,4,11,4,5.0,58,1
4,5,18,5,1,3,5,4.0,58,1
5,6,18,6,3,13,6,3.0,57,11
6,7,18,7,5,17,7,2.0,55,5
7,8,18,8,6,15,8,1.0,53,5
8,9,18,9,2,2,9,0.0,47,4
9,10,18,10,7,18,10,0.0,43,3
10,11,18,11,8,19,11,0.0,32,7
11,12,18,12,4,20,12,0.0,30,8
12,13,18,13,6,4,13,0.0,29,5
13,14,18,14,9,8,14,0.0,25,4
14,15,18,15,7,6,15,0.0,19,10
15,16,18,16,10,22,16,0.0,8,9
16,17,18,17,9,14,17,0.0,0,4
17,18,18,18,11,12,18,0.0,0,4
18,19,18,19,8,21,19,0.0,0,4
19,20,18,20,5,9,20,0.0,0,4
20,21,18,21,10,16,21,0.0,0,4
21,22,18,22,11,10,22,0.0,58,2
22,23,19,8,6,2,1,10.0,56,1
23,24,19,9,2,4,2,8.0,56,1
24,25,19,5,1,8,3,6.0,56,1
25,26,19,15,7,3,4,5.0,56,1
26,27,19,1,1,9,5,4.0,56,1
27,28,19,2,2,5,6,3.0,56,1
28,29,19,17,9,6,7,2.0,56,1
29,30,19,4,4,7,8,1.0,56,1
30,31,19,14,9,12,9,0.0,56,1
31,32,19,18,11,11,10,0.0,56,1
32,33,19,12,4,13,11,0.0,56,1
33,34,19,21,10,17,12,0.0,55,11
34,35,19,22,11,14,13,0.0,55,11
35,36,19,3,3,16,14,0.0,55,11
36,37,19,19,8,21,15,0.0,55,11
37,38,19,11,8,19,16,0.0,54,12
38,39,19,6,3,22,17,0.0,54,12
39,40,19,20,5,15,18,0.0,39,5
40,41,19,13,6,1,19,0.0,30,20
41,42,19,16,10,20,20,0.0,5,9
42,43,19,10,7,10,21,0.0,1,4
43,44,19,7,5,18,22,0.0,0,20
44,45,20,13,6,2,1,10.0,57,1
45,46,20,8,6,4,2,8.0,57,1
46,47,20,9,2,1,3,6.0,57,1
47,48,20,2,2,6,4,5.0,57,1
48,49,20,5,1,5,5,4.0,57,1
49,50,20,15,7,7,6,3.0,57,1
50,51,20,17,9,11,7,2.0,57,1
51,52,20,3,3,8,8,1.0,57,1
52,53,20,10,7,13,9,0.0,57,1
53,54,20,4,4,10,10,0.0,57,1
54,55,20,22,11,12,11,0.0,57,1
55,56,20,21,10,18,12,0.0,56,11
56,57,20,1,1,3,13,0.0,56,11
57,58,20,6,3,16,14,0.0,56,11
58,59,20,7,5,15,15,0.0,56,11
59,60,20,19,8,21,16,0.0,56,11
60,61,20,11,8,22,17,0.0,56,11
61,62,20,14,9,17,18,0.0,56,11
62,63,20,16,10,20,19,0.0,56,12
63,64,20,12,4,14,20,0.0,40,6
64,65,20,18,11,9,21,0.0,19,4
65,66,20,20,5,19,22,0.0,0,5
66,67,21,8,6,1,1,10.0,66,1
67,68,21,13,6,3,2,8.0,66,1
68,69,21,1,1,5,3,6.0,66,1
69,70,21,9,2,4,4,5.0,66,1
70,71,21,17,9,7,5,4.0,66,1
71,72,21,18,11,13,6,3.0,66,1
72,73,21,6,3,12,7,2.0,66,1
73,74,21,15,7,8,8,1.0,66,1
74,75,21,2,2,9,9,0.0,66,1
75,76,21,21,10,19,10,0.0,65,11
76,77,21,10,7,14,11,0.0,65,11
